text_id,prompt,s_chatgpt_generation,s_chatgpt_condensation,s_chatgpt_evaluation,s_gemini_generation,gemini_condensation,s_gemini_evaluation,s_llama_generation,llama_condensation,s_llama_evaluation,s_grok_generation,s_grok_condensation,s_grok_evaluation
FC_01,Vanilla,1,1,1,1,1,1,1,1,1,1,1,1
FC_01,Ask-me-anything,0,1,1,1,0,1,1,1,1,1,1,1
FC_01,Chain-of-Thought,1,1,1,1,0,1,1,1,1,1,1,1
FC_01,Contextual,1,1,1,1,1,1,0,0,1,1,1,1
FC_01,Least-to-most ,0,0,1,1,0,1,1,0,1,1,0,1
FC_01,Role,1,0,1,1,0,1,0,1,1,1,0,1
FC_01,Zero-shot,1,0,1,1,0,1,1,1,1,1,1,1
FC_02,Vanilla,0,1,1,1,0,1,0,1,0,1,1,1
FC_02,Ask-me-anything,1,1,1,1,0,1,1,0,1,1,1,1
FC_02,Chain-of-Thought,0,0,1,0,0,1,1,0,1,1,1,1
FC_02,Contextual,0,0,1,1,1,1,1,0,1,1,1,1
FC_02,Least-to-most ,1,0,1,1,0,1,1,0,1,1,0,1
FC_02,Role,1,0,1,1,0,1,1,0,1,1,0,1
FC_02,Zero-shot,1,0,1,1,0,1,1,1,1,1,0,1
FC_03,Vanilla,1,1,1,0,1,1,1,1,1,1,1,1
FC_03,Ask-me-anything,1,1,1,1,0,1,1,0,1,1,0,1
FC_03,Chain-of-Thought,1,1,1,1,0,1,1,0,1,1,1,1
FC_03,Contextual,1,1,1,1,1,1,1,0,1,1,0,1
FC_03,Least-to-most ,1,0,1,1,0,1,1,0,1,1,0,1
FC_03,Role,1,0,1,1,0,1,0,0,1,1,0,1
FC_03,Zero-shot,1,0,1,1,0,1,1,1,1,1,0,1
FC_04,Vanilla,1,0,1,0,1,1,0,1,0,0,1,1
FC_04,Ask-me-anything,1,1,1,0,1,1,1,0,1,0,1,0
FC_04,Chain-of-Thought,1,1,1,1,1,1,0,1,1,0,1,1
FC_04,Contextual,1,1,1,1,1,1,1,0,1,1,1,1
FC_04,Least-to-most ,0,1,1,0,1,1,0,1,1,0,1,0
FC_04,Role,1,1,0,0,1,1,0,1,1,0,1,1
FC_04,Zero-shot,1,1,1,1,1,1,1,0,1,1,1,1
FC_05,Vanilla,1,0,1,1,1,1,0,0,1,0,1,1
FC_05,Ask-me-anything,1,0,1,1,0,1,0,0,1,0,0,1
FC_05,Chain-of-Thought,1,0,1,1,0,1,0,1,1,1,0,1
FC_05,Contextual,1,1,1,1,0,1,0,0,1,0,0,1
